key,Population,lat,lon
718,Cambodian,12,105
719,Cambodian,12,105
720,Cambodian,12,105
721,Cambodian,12,105
747,Japanese,38,138
748,Japanese,38,138
749,Japanese,38,138
750,Japanese,38,138
751,Japanese,38,138
752,Japanese,38,138
753,Japanese,38,138
754,Japanese,38,138
755,Japanese,38,138
756,Japanese,38,138
757,Japanese,38,138
758,Japanese,38,138
759,Japanese,38,138
760,Japanese,38,138
761,Japanese,38,138
762,Japanese,38,138
763,Japanese,38,138
764,Japanese,38,138
765,Japanese,38,138
766,Japanese,38,138
767,Japanese,38,138
768,Japanese,38,138
769,Japanese,38,138
771,Japanese,38,138
772,Japanese,38,138
773,Japanese,38,138
790,Japanese,38,138
791,Japanese,38,138
828,Japanese,38,138
945,Yakut,62.98287845,129.5
946,Yakut,62.98287845,129.5
947,Yakut,62.98287845,129.5
948,Yakut,62.98287845,129.5
949,Yakut,62.98287845,129.5
950,Yakut,62.98287845,129.5
951,Yakut,62.98287845,129.5
952,Yakut,62.98287845,129.5
953,Yakut,62.98287845,129.5
954,Yakut,62.98287845,129.5
955,Yakut,62.98287845,129.5
956,Yakut,62.98287845,129.5
957,Yakut,62.98287845,129.5
958,Yakut,62.98287845,129.5
959,Yakut,62.98287845,129.5
960,Yakut,62.98287845,129.5
961,Yakut,62.98287845,129.5
962,Yakut,62.98287845,129.5
963,Yakut,62.98287845,129.5
964,Yakut,62.98287845,129.5
965,Yakut,62.98287845,129.5
966,Yakut,62.98287845,129.5
967,Yakut,62.98287845,129.5
968,Yakut,62.98287845,129.5
969,Yakut,62.98287845,129.5
